,title,plot
222,La Haine,"24 hours in the lives of three young men in the French suburbs the day after a violent riot.,The film follows three young men and their time spent in the French suburban ""ghetto,"" over a span of twenty-four hours. Vinz, a Jew, Saïd, an Arab, and Hubert, a black boxer, have grown up in these French suburbs where high levels of diversity coupled with the racist and oppressive police force have raised tensions to a critical breaking point. During the riots that took place a night before, a police officer lost his handgun in the ensuing madness, only to leave it for Vinz to find. Now, with a newfound means to gain the respect he deserves, Vinz vows to kill a cop if his friend Abdel dies in the hospital, due the beating he received while in police custody.,When the youth Abdel goes to the hospital in coma due to a battering he receives at the police station, there are riots in the outskirts of Paris and one policeman loses his revolver. On the next morning, the Arab Said summons his Jewish friend Vinz and they meet the black boxer Hubert in the slum where they live. Soon Vinz shows the missing gun that he found in the night before and he tells that if Abdel dies, he will revenge his friend killing a police officer. The trio of troublemaker and pothead friends head to the downtown of Paris where they spend the day asking for trouble. On the end of the long night, tragedy happens.,Vinz, Hubert and Said live in the poorer part of Paris and have to use all their street smarts to get by. After an incident in which the police assaulted a friend of theirs, tensions between police and young working-class men, such as themselves, escalate. Incensed at the potential death of his friend, Vinz is out for revenge.,In the aftermath of a violent demonstration against police brutality, sparked by the hospitalisation of the critically wounded, Abdel Ichacha, three young friends, Vinz, Hubert, and Saïd, reunite the following morning in their neighbourhood on one of the wretched, low-income banlieues outside Paris. Blind with rage, and the unreasoning desire to settle the score with his stainless-steel, snub-nosed Smith and Wesson Model 629 revolver, more and more, Vinz seems like a ticking time bomb. In the meantime, during the course of twenty-four hours, he is killing time, meandering through the metropolis' faceless streets, waiting to explode. But, hatred breeds hatred, violence begets violence, and murder is never the solution. Can there be hope when there is no place to go but down?,Injured by a police inspector during an interrogation, Abdel is at a hospital, almost dead. In the suburbs where he lives, some riots happened during the night, and one policeman lost his gun. One of Abdel's friends, Vinz, finds it. Vinz and his two pals, Said and Hubert, have nothing to do so they try to kill time. Vinz swears that if Abdel dies, he will shoot a policeman..."
223,The 400 Blows,"A young boy, left without attention, delves into a life of petty crime.,Seemingly in constant trouble at school, 14-year-old Antoine Doinel returns at the end of every day to a drab, unhappy home life. His parents have little money and he sleeps on a couch that's been pushed into the kitchen. His parents bicker constantly and he knows his mother is having an affair. He decides to skip school and begins a downward spiral of lies and theft. His parents are at their wits' end, and after he's stopped by the police, they decide the best thing would be to let Antoine face the consequences. He's sent to a juvenile detention facility where he doesn't do much better. He does manage to escape however.,14-year-old Antoine Doinel is unfairly punished in school by his teacher in French literature. Next morning his friend René suggests that they play truant. Instead of going to school, they go to the cinema, play pinball, and visit a huge amusement rotor. The following day Antoine tells his teacher that his absence was due to his mother's death; unfortunately his parents turn up at school. Antoine loves his mother, but she dislikes him, because he is the result of an episodic intercourse in her youth before she met Antoine's stepfather. When things get worse, both in school and at home, Antoine runs away. René lives in a huge apartment with his rich parents, who won't notice if Antoine sleeps in René's room. To get money Antoine steals a typewriter from his father's office. The machine is unsellable, so he brings it back to the office, where he is caught by an office janitor. Antoine's stepfather takes him to the police, who imprison him for vagrancy and theft. A juvenile-court judge sends him to an observation centre in the countryside, from where he runs away, and doesn't stop until he reaches the sea.,In Paris, early-teen Antoine Doinel always seems to be in trouble. He has a short attention span and is easily distracted, which leads to him doing poorly in school. Some of his problems stem from his home life with his mother, Gilberte Doinel, and his stepfather, Julien Doinel, who is the only father he has ever known as Gilberte and Julien married when Antoine was an infant. When Julien and Gilberte aren't working, they leave Antoine alone to fend for himself. And even when they are home, they are often arguing and their parenting is inconsistent, leading to Antoine having no clear boundaries. On the most part, Antoine truly believes that his mother does not love him. Those issues for which he is blamed are not always his fault, and many of his contemporaries just don't get caught as often as Antoine seems to get caught. Even when Antoine tries to do the right thing, he often is not given credit for his efforts, or his efforts lead to a bad result. The former issue is especially prevalent at school, where his teachers just believe that his school work will not be worth a passing grade. In general, punishments have been ineffective in curbing his behavior as he just rebels more against them. Antoine is often supported and/or egged on in his activities by his best friend René, who often skips school with him. Unless something drastic changes in Antoine's life, he is destined down a path that will lead to nothing good, which is more problematic as he gets older.,With his inattentive, moody, and emotionally unavailable parents--the unmotherly, Gilberte, and the detached stepfather, Julien--often absent from their cramped Parisian apartment, the fourteen-year-old at-risk youth, Antoine Doinel, feels like a stranger in his own house. Misunderstood, unhappy, and afraid to tell the truth to his parents, Antoine can't wait to grow up, desperately looking for ways to escape the oppression of his home and school, and become autonomous. As a result, his childish innocence leads him to petty crimes to finance his plans of independence; but, before long, Antoine is caught and put in an observation centre, along with other troubled teens, until others decide his fate. However, even though Antoine knows he's all on his own, the boy cries for attention, and his only wish is to see the ocean for the first time. Why can't everyone see the boy's desperate need for love?"
224,Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.,When the Boston Globe's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world.,In existence since the 1970s, Spotlight is the investigative reporting unit of the Boston Globe. They can spend months or years on a single story, which they choose amongst themselves. As such, they are somewhat autonomous from the rest of the newspaper, only needing to report to their superior. As a rule, they are not to discuss their work with anyone else, whether it be other staff, friends and or family. In 2001, the four person team consisted of its editor Walter Robinson - Robby to his friends - and his team of three investigative journalists, Michael Rezendes, Sacha Pfeiffer and Matt Carroll. Robby reports to the assistant managing editor, Ben Bradlee Jr.. Upon his arrival from his most recent position in Florida, Marty Baron, the newly appointed editor-in-chief. Mr. Baron requests Spotlight to place their current project on hold and dig deeper into a recent story written by fellow Globe reporter and columnist Eileen McNamara, regarding allegations against a Catholic priest of sexual abuse of a minor and what appears to be the subsequent cover-up by the head of the Archdiocese of Boston, Cardinal Bernard Law. They are at first hesitant to work on the story, seeing Baron as an outsider to Boston, he who doesn't understand what is important to locals. Baron's outsider status includes not being born and raised there, and not being Catholic (he being the Globe's first Jewish editor-in-chief). Spotlights first task is to see if they can get some court documents on the case unsealed, which means they will need a court order. The Church and its parishioners could falsely interpret this as The Globe suing the Catholic church. This could have major, negative consequences for The Globe due to the fact that a majority of their subscribers are Catholic. Robby and his team begin by speaking to lawyers who have or are working on alleged sexual abuse cases perpetrated by Catholic priests in and immediately surrounding Boston (those lawyers said including Eric MacLeish and Mitchell Garabedian), known victims (such as Phil Saviano, the head of the Survivors Network of those Abused by Priests (SNAP)) and insiders in the Catholic church. Through this investigation, they get wind that the problem is not contained to a couple of priests and few victims, in essence changing the focus from the priest(s) to the systemic problem of the Archdiocese not only covering up the abuse but in reality doing nothing to stop it and thus condoning it. Their goal is not only the end product of an important story, but making sure that the other major local newspapers, such as the Boston Herald, do not beat them to the scant outline of the story in the public consciousness which the Catholic church could easily quash. Through it all, they may come to some unpleasant realizations that not only the Archdiocese and the Catholic church in general are to blame for what happened.,In 2001, editor Marty Baron of The Boston Globe assigns a team of journalists to investigate allegations against John Geoghan, an unfrocked priest accused of molesting more than 80 boys. Led by editor Walter ""Robby"" Robinson, reporters Michael Rezendes, Matt Carroll and Sacha Pfeiffer interview victims and try to unseal sensitive documents. The reporters make it their mission to provide proof of a cover-up of sexual abuse within the Roman Catholic Church.,In 2001, the Jewish editor Marty Baron is hired by The Boston Globe and he asks the Spotlight team to investigate the priest John Geoghan that was accused of abusing children and the lawyer Mitchell Garabedian that has told that Cardinal Law knew what his priest did. Walter 'Robby' Robinson, Mike Rezendes, Sacha Pfeiffer and Matt Carroll are fully supported by Baron and their leader Ben Bradlee, Jr. to set in motion the investigation of the priest and they contact the initially reluctant Garabedian; the lawyer Eric Macleish that has defended many victims; the leader of the victims' rights organization Phil Saviano; and several victims that accept to meet them. After one year investigation, they confirm the names of twenty pedophile priests in Boston and they publish the story showing that Cardinal Law had prior knowledge of the priests' abuse of children,The true story of how, in 2001, reporters at the Boston Globe investigated accusations of Catholic priests in Boston molesting children. Following on from leads, interviews with victims, existing court cases and extensive research they reveal decades of abuse. Moreover, they discover that the issue was far wider spread than they at first believed, that senior members of the diocese were aware of the issue and that the church systemically covered up the crimes.,In 1976, at a Boston Police station, two policemen discuss the arrest of Catholic priest Fr. John Geoghan for child molestation and a high ranking cleric talks to the mother of the children. The Assistant District Attorney then enters the precinct and tells the policemen not to let the press get wind of what has happened. The arrest is hushed up, and the priest is released. In 2001, The Boston Globe hires a new editor, Marty Baron. Baron meets Walter ""Robby"" Robinson, the editor of the newspaper's ""Spotlight"" team, a small group of journalists writing investigative articles that take months to research and publish.."
225,The Passion of Joan of Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.,Giovanna is taken to the Inquisition court. . After the accusation of blasphemy continues to pray in ecstasy . A friar thinks that Giovanna is a saint, but is taken away by the soldiers. Giovanna sees a cross in the shadow and feels comforted. She is not considered a daughter of God but a daughter of the devil and is sentenced to torture. Giovanna D 'Arco says that even if she dies she will not deny anything. The eyes are twisted by terror in front of the torture wheel and faint. Giovanna is taken to a bed where they are bleeding. Giovanna feels that she is about to die and asks to be buried in a consecrated area. Giovanna burns at the stake while devoted ladies cry.,Imprisoned by the Burgundians at Beaurevoir Castle, and then moved by the English to the impregnable Rouen Castle, Joan of Arc--France's most charismatic commander; brave leader during the Siege of Compiègne, and a national symbol for the French cause during the Hundred Years' War--finds herself standing trial for heresy. Interrogated by the Cardinal of Winchester in her prison, and mocked by the judge, Bishop Pierre Cauchon, and prosecutor, Jean d'Estivet, for claiming to see visions of St. Michael, St. Catherine, and St. Margaret, Joan of Arc is forced to recant and repent, having to endure degradation, torture, and the ordeal of endless sessions of cross-examinations, from January 9, 1431, to March 26, 1431. And, on May 30, 1431, Joan of Arc was burned at the stake at the Old Marketplace in Rouen, labelled a false prophetess, a blasphemer, and a sorceress.,The sufferings of a martyr, Jeanne D'Arc (1412-1431). Jeanne appears in court where Cauchon questions her and d'Estivet spits on her. She predicts her rescue, is taken to her cell, and judges forge evidence against her. In her cell, priests interrogate her and judges deny her the Mass. Threatened first in a torture chamber and then offered communion if she will recant, she refuses. At a cemetery, in front of a crowd, a priest and supporters urge her to recant; she does, and Cauchon announces her sentence. In her cell, she explains her change of mind and receives communion. In the courtyard at Rouen castle, she burns at the stake; the soldiers turn on the protesting crowd."
226,Hotel Rwanda,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives."
227,Time of the Gypsies,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.,In this luminous tale set in the former Yugoslavia, Perhan, an engaging young Romany with telekinetic powers, is seduced by the quick-cash world of petty crime that threatens to destroy him and those he loves.,Perhan is a teenage gypsy boy with telekinetic powers. A wealthy gypsy, Ahmed, visits the village and promises to get Perhan's sister the medical treatment she needs if they go with him to Italy. Perhan soon discovers that Ahmed's business activities are quite shady and he is soon lured into Ahmed's world."
228,Amores Perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.,On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way.,Three interconnected stories about the different strata of life in Mexico City all resolve with a fatal car accident. Octavio is trying to raise enough money to run away with his sister-in-law, and decides to enter his dog Cofi into the world of dogfighting. After a dogfight goes bad, Octavio flees in his car, running a red light and causing the accident. Daniel and Valeria's new-found bliss is prematurely ended when she loses her leg in the accident. El Chivo is a homeless man who cares for stray dogs and is there to witness the collision."
229,Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.,Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.,Inspired by the real-life exploits of local gangs and beginning with the bandit-like career of Shahid Khan in the 1940s, the film follows the ruthless rise of his son Sardar and his offspring, Danish, Perpendicular and Definitive Khans. GANGS OF WASSEYPUR mirrors the tumultuous and explosive growth of modern India with ferocious cinematic intensity.The least likely of Sardar's children - the perpetually stoned Faizal who rises to the top ranks of the Khan crime family, vowing brutal revenge on their longtime nemesis, the wily and seemingly unstoppable Ramadhir Singh."
230,Rocky,"A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Rocky Balboa is a struggling boxer trying to make the big time, working as a debt collector for a pittance. When heavyweight champion Apollo Creed visits Philadelphia, his managers want to set up an exhibition match between Creed and a struggling boxer, touting the fight as a chance for a ""nobody"" to become a ""somebody"". The match is supposed to be easily won by Creed, but someone forgot to tell Rocky, who sees this as his only shot at the big time.,Rocky Balboa is a struggling boxer failing to make it big time. Despite his true talent and his inability to admit defeat, his friends and his coach, Micky, never give him the time of day. When Apollo Creed, the Heavyweight Champion of the World visits Rocky's home town asking for a lesser man to fight, Apollo chooses him based on his nickname, 'The Italian Stallion'. With his shot at glory in front of him, Rocky trains harder than he thought was possible in order to earn his own self-respect and go the distance.,Rocky Balboa, a small-time boxer from working-class Philadelphia, is arbitrarily chosen to take on the reigning world heavyweight champion, Apollo Creed, when the undefeated fighter's scheduled opponent is injured. While training with feisty former bantamweight contender Mickey Goldmill, Rocky tentatively begins a relationship with Adrian, the wallflower sister of his meat-packer pal Paulie."
231,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.,Andreiv Rublev charts the life of the great icon painter through a turbulent period of 15th Century Russian history, a period marked by endless fighting between rival Princes and by Tatar invasions.,The life and times of Andrei Rublev, Russian iconographer of the early-15th century. Over seven periods in his life, spanning 1400 to 1424, we see the history of Russia, the power struggles, the role of the church and religion and Rublev's dedication to his calling.,The narrative film, divided into eight short stories, describes the period of turmoil in Russia at the beginning of the 15th century - from 1400 to 1423, as if seen through the eyes of the icon-monk Andrey Rublev. Separate short stories are little connected with each other, but they paint a general picture of medieval Russia, taking shape like a mosaic. The first small chapter shows the flight of a monk in a balloon. The main plot of the film is the departure of three monks from Andronikov Monastery: Daniil, Cyril and Andrey Rublev."
232,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.,A city of monsters with no humans called Monstropolis centers around the city's power company, Monsters, Inc. The lovable, confident, tough, furry blue behemoth-like giant monster named James P. Sullivan (better known as Sulley) and his wisecracking best friend, short, green cyclops monster Mike Wazowski, discover what happens when the real world interacts with theirs in the form of a 2-year-old baby girl dubbed ""Boo,"" who accidentally sneaks into the monster world with Sulley one night. And now it's up to Sulley and Mike to send Boo back in her door before anybody finds out, especially two evil villains such as Sulley's main rival as a scarer, chameleon-like Randall (a monster that Boo is very afraid of), who possesses the ability to change the color of his skin, and Mike and Sulley's boss Mr. Waternoose, the chairman and chief executive officer of Monsters, Inc.,Sully and Mike are 2 monster employees that work at a lighting/scaring company known as Monsters Inc and are close to breaking the all-time scare record. While mike is out with his girlfriend, Selia, Sully finds a door while looking for mike's paper and something else-a human child running amok in the city! Left with no other choice, sully must now seek help from mike to return the child before everyone finds out and Armageddon breaks out,In a world behind our closet doors, monsters reign supreme. The utility company Monsters Inc. specializes in fueling their world with the screams of human children. A team of monster scarers led by lovable Sulley and his wisecracking best friend Mike work hard and long hours to ensure the fuel of the screams. But things go crazy when Sulley discovers a mysterious door and a runaway little girl running amok. However, both Sulley and Mike discover that the little girl (Boo) is not actually dangerous, so they must bring her home to the human world. But what the duo doesn't know is that Boo is actually the key to a sinister conspiracy to saving the monster world from a rising crisis.,James P. Sullivan (AKA ""Sulley"") and Mike Wazowski pick up their paychecks at Monsters Inc., the utility company that generates energy from the goose bumps of children. Sulley, the No. 1 scream-generator at the plant accidentally lets in a little girl into the monster world. Since monsters are actually terrified of children it's a major cause for alarm and a major headache for Sulley and Mike.,In a land of monsters, James P. Sullivan is king. He and his coworker/ friend Mike Wazowski are two of many monsters that work for Monsters Inc. a utility company that generates power for a very paranoid and nervous city of monsters. This power, oddly enough, is generated from the screams of children, which is produced by scaring them in their sleep. One night, however, Sully uncovers a devious plot to rid Monster city of it's power problems, but in all the wrong ways. Together, ironically, Sully and Mike will fight to protect the innocence of the children they scare every night.,In the world behind our closet doors, monsters like Mike and Sulley work hard for their income. To be exact, the monster world depends on our children's screams: It is their energy that makes lightbulbs glow and cars drive. Big companies like Monsters, Inc. collect the scream energy, and many monsters work there in shifts. In these times, it is getting harder and harder to shock the kids properly, since they're so spoiled by television, so that there's an energy shortage in the monster world. Sulley, the number one frightener, one day accidentally lets a human child into the monster world. Since kids are supposed to be poisonous and carry loads of diseases, pandemonium ensues. After Mike and Sulley discover that the girl they named Boo actually seems quite harmless, they decide to bring her back through her door into her room. But Boo's presence is more than just a mere accident. Now, Mike and Sulley have to face an enemy within their own ranks."
233,Nausicaä of the Valley of the Wind,"Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,An animated fantasy-adventure. Set one thousand years from now, the Earth is ravaged by pollution and war. In the Valley of the Wind lives Nausicaä, Princess of her people. Their land borders on a toxic jungle, filled with dangerous over-sized insects. Meanwhile, two nearby nations are bitterly engaged in a war and the Valley of the Wind is stuck in the middle.,Taking place in a post-apocalyptic world in the far future, the film tells the story of Nausicaä (Shimamoto), the young Princess of the Valley of the Wind. She becomes embroiled in a struggle with Tolmekia, a kingdom that tries to use an ancient weapon to eradicate a jungle of mutant giant insects, and attempts to stop the Tolmekians from enraging these creatures.,In the far future, man has destroyed the Earth in the ""Seven Days of Fire"". Now, there are small pockets of humanity that survive. One pocket is the Valley of Wind where a Princess named Nausicaä tries to understand, rather than destroy the Toxic Jungle. Note that the old U.S. release titled ""Warriors of the Wind"" is an entirely ""kiddiefied"" version which edited the original movie heavily, thus creating an entirely different story.,In the far future, a thousand years after a nuclear war left the Earth as a nuclear holocaust. The Valley of the Wind, a small kingdom ruled by King Jil struggles for survival as the community tries to defend the Valley from gigantic Ohmu and toxic plants that live beyond the Valley in the Sea of Decay, while Jil's daughter and heiress to the throne, Princess Nausicaä tries to understand and feels it is wrong to destroy the toxic jungle. The Valley is attacked by the Tolmekian people who plan to destroy the Sea of Decay by using the greatest warriors that started the holocaust. After Nausicaä is taken prisoner, Nausicaä escapes and goes beneath the Sea of Decay where she discovers the toxic plants are not poisoning the air, and are purifying the world by draining the air of radiation and toxins. With everything at stake, Nausicaä unites with the Ohmus and set out to the Valley and foil the Tolmekians plan of unleashing the Great Warrior which will start another holocaust."
234,Rebecca,A self-conscious bride is tormented by the memory of her husband's dead first wife.
235,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.
236,Rififi,"Four men plan a technically perfect crime, but the human element intervenes...,After five years in prison, Tony le Stéphanois meets his dearest friends Jo and the Italian Mario Ferrati and they invite Tony to steal a couple of jewels from the show-window of the famous jewelry Mappin & Webb Ltd, but he declines. Tony finds his former girlfriend Mado, who became the lover of the gangster owner of the night-club L' Âge d' Or Louis Grutter, and he humiliates her, beating on her back for being unfaithful. Then he calls Jo and Mario and proposes a burglary of the safe of the jewelry. They invite the Italian specialist in safes and elegant wolf Cesar to join their team and they plot a perfect heist. They are successful in their plan, but the Don Juan Cesar makes things go wrong when he gives a valuable ring to his mistress.,Fresh out of jail after a hard five-year imprisonment, the weary master burglar, Tony le Stéphanois, returns to a rain-soaked Paris only to discover that his girl, Mado, is now the mistress of a rival dope-dealing gangster. Utterly disheartened, Tony reluctantly accepts the proposition of his young protégé, Jo the Swede, and his friend, Mario, for a quick smash-and-grab raid on the prestigious jewellery store Mappin&Webb, on one condition: to step up this job into an all-out jewel heist. With an impeccable plan and the aid of the expert safe-cracker, Cesar the Milanese, the band of thieves stand a great chance of succeeding; however, what if opening the jewellery shop's impregnable safe is the robbery's easiest part?,Paris. Tony, nicknamed Le Stéphanois after his hometown Saint-Étienne, has just been released from prison after five years, time served for a jewel heist. He did not give up his younger friend and associate Jo - Le Suedois (The Swede) - in loyalty and to give Jo a chance at life, which now includes a wife, Louise, and five year old son, Tonio, named after Tony. The first of Tony's tasks is to get back at some people, including his old girlfriend Mado in she not waiting for him, she who has taken up with gangster nightclub owner Louis Grutter - Le Tatoué (The Tattoo). His second task is to find something to do to earn money as gambling won't cut it. His and Jo's friend, Mario Ferrati, suggests something akin to a smash and grab of the three stones in the window of the high end jewelry store, Mappin and Webb. Initially declining the offer, Tony agrees only in making it a true heist to rob their safe instead, employing a fourth, a top end safe-cracker, Cesar - Le Milanais (The Milanese). Tony has a plan all mapped out to conduct the heist in the middle of the night, they needing to complete the job by 05:00 at the latest not to arouse suspicion to neighboring businesses which would just begin to open. The biggest issue with the plan is not tripping the temperamental alarm which can be set off by a power failure or excessive vibration. Even if they are able to get the jewels out of the safe, the amount of which they are unaware, and escape, they still have to be careful in not bringing attention to themselves until they are able to fence the goods and get the money. Even if all four of them are able to adhere to these strict post-heist rules, they cannot control their pasts catching up with them, Tony who has the most potential baggage to cause problems."
237,Rang De Basanti - Die Farbe Safran,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.,Sue comes to India to make a film on Indian revolutionaries.She is helped by her friend Sonia who introduces her to her friends Karan,Aslam,Sukhi and their head DJ.Sonia's fiance Lt Ajay Rathod also joins the gang when in town.Their gang always gets in trouble with a political member Laxman who opposes their western culture.After many auditions Sue decides to caste DJ and his friend's in her film.She also casts Laxman in a role thus ending his feud with the gang.All things are going well until Ajay dies in plane crash but manages to save everyone on board.The state minister declares that Ajay died due to his own negligence .DJ an his friends can't take shame given to Ajay by minister and decide to fight for justice.Where things will take ugly events due to political games.,A young idealistic English filmmaker, Sue, arrives in India to make a film on Indian revolutionaries Bhagat Singh, Chandrashekhar Azad and their contemporaries and their fight for freedom from the British Raj. Owing to a lack of funds, she recruits students from Delhi University to act in her docu-drama. She finds DJ, who graduated five years ago but still wants to be a part of the University because he doesn't think there's too much out there in the real world to look forward to. Karan, the son of Industrialist Rajnath Singhania, who shares an uncomfortable relationship with his father, but continues to live off him, albeit very grudgingly. Aslam, is a middle class Muslim boy, who lives in the by-lanes near Jama Masjid, poet, philosopher and guide to his friends. Sukhi, the group's baby, innocent, vulnerable and with a weakness for only one thing - girls. Laxman Pandey, the fundamentalist in the group, the only one who still believes that politics can make the world a better place and finally Sonia - the sole girl in the group, tomboy and vivacious spirit, engaged to Ajay - the dashing air pilot. Through her film, Sue wishes to showcase to the world the efforts of these young revolutionaries and the enormity of their contribution to the freedom movement in India. What unfolds is the inspiration behind Sue's passion for bringing their story to the world. The twist in the tale is of course the fact that more than just telling the world, Sue's film makes DJ and his friends stop and stare at themselves for being the actual descendants of these great men and never recognizing and celebrating their courage and spirit.,Arriving in India, a UK graduate enlists a gang of college students to participate in a documentary about India's freedom fighters. Initially, these students scoff at the ideals and people of the past, but a sequence of events set in slow motion a merging of the past and present.,DJ or Daljeet, Sukhi, Karan, Aslam and Sonia are 5 friends who having graduated from Delhi University, hesitate to get out into the real world, and still roam the campus. Each of them is feisty and loyal. Into this group comes Sue straight from the UK, all determined to make her film on Indian freedom fighters, despite the shortage of funds. Introduced to the others by Sonia, she develops a strong bond with the rest, and especially with DJ. She persuades them to act in the film, and even woos Hindutva-vadi student party-worker Pandey to take the role of Ramprakash Bismil. Gradually the friends ponder over their roles and the lives of the selfless freedom-fighters, and in the face of a tragedy, realize that they too, like [Bhagat Singh] and Chandrasekhar Azad, must take action, to ensure that their now corrupt and poverty-laden country, awakens and the guilty do not go unpunished. How they do it, makes for an engrossing second-half.,Dedicated to lives of Indian Airmen who have died due to frequent MiG aircraft crashes, this is a story of five friends, Sukhi, Daljeet, Aslam Khan, Karan Singhania, and Laxman Pandey who are approached by a U.K.-based Filmmaker, Sue, to participate in a documentary about India's freedom fighters like Bhagat Singh, Chandrashekhar Azad, Rajguru, Ashfaqulla Khan, and Ramprasad Bismil. She is quite disappointed as five do not appear interested and one is ready to re-locate to the United States. She does convince them to participate and makes them view their circumstances with a different light, leading Karan to confront his dad, Rajnath, and then things began to change for them, especially with the sudden death of Flight Lieutenant Ajay Rathod, and become even more complicated when the five are accused of assassinating Shastri, India's Defence Minister and hole up in a Doordarshan TV Station - with the Police hot on their tails."
